Job #,Borough,Street Name,GIS_NTA_NAME
123419292,MANHATTAN,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123419292,MANHATTAN,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
421168701,QUEENS,VIRGINIA STREET,Far Rockaway-Bayswater
123364723,MANHATTAN,PITT STREET,Lower East Side
123445691,MANHATTAN,EAST 72 STREET,Lenox Hill-Roosevelt Island
123561369,MANHATTAN,WEST 30 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123381544,MANHATTAN,BROADWAY,Hamilton Heights
321821025,BROOKLYN,PACIFIC STREET,Ocean Hill
123383873,MANHATTAN,CANAL ST,SoHo-TriBeCa-Civic Center-Little Italy
121188829,MANHATTAN,WEST 131 STREET,Central Harlem North-Polo Grounds
123401121,MANHATTAN,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123401121,MANHATTAN,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123126143,MANHATTAN,WEST 77TH STREET,Upper West Side
123561369,MANHATTAN,WEST 30 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
220664831,BRONX,WEST 261ST STREET,North Riverdale-Fieldston-Riverdale
321384159,BROOKLYN,GRAND AVE,Clinton Hill
123518345,MANHATTAN,WEST 57 STREET,Clinton
240240565,BRONKS,PENNYFIELD CAMP,Schuylerville-Throgs Neck-Edgewater Park
220673616,BRONX,ST. ANN'S AVENUE,Melrose South-Mott Haven North
220634357,BRONX,ARTHUR AVENUE,East Tremont
520356203,STATEN ISLAND,BARTLETT AVE,Great Kills
321845562,BROOKLYN,NOSTRAND AVENUE,Midwood
321072441,BROOKLYN,E 21 ST,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
421636723,QUEENS,RIVERSIDE DRIVE,Whitestone
321370725,BROOKLYN,44 STREET,Borough Park
420664711,QUEENS,CATALPA AVENUE,Ridgewood
123507963,MANHATTAN,EAST 61 STREET,Lenox Hill-Roosevelt Island
220678194,BRONX,LELAND AVE,West Farms-Bronx River
123401121,MANHATTAN,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
421925787,QUEENS,ROCKAWAY BEACH BLVD,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
421925787,QUEENS,ROCKAWAY BEACH BLVD,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
340648179,BROOKLIN,LAFAYETTE AVE,Bedford
123591327,MANHATTAN,WEST 66TH STREET,Lincoln Square
123589508,MANHATTAN,5TH AVENUE,Midtown-Midtown South
421927240,QUEENS,192 STREET,Hollis
520368236,STATEN ISLAND,VICTORY BLVD,New Springville-Bloomfield-Travis
321073137,BROOKLYN,AVENUE J,Canarsie
421697809,QUEENS,76 AVE,Glen Oaks-Floral Park-New Hyde Park
322058474,BROOKLYN,PUTNAM AVENUE,Stuyvesant Heights
421689444,QUEENS,OAK DRIVE,Far Rockaway-Bayswater
421719475,QUEENS,150TH STREET,Whitestone
421721079,QUEENS,1ST STREET,Lindenwood-Howard Beach
340655534,BROOKLYN,5TH AVENUE,Park Slope-Gowanus
421720873,QUEENS,76 AVENUE,Glen Oaks-Floral Park-New Hyde Park
321919992,BROOKLYN,77TH STREET,Bay Ridge
321919992,BROOKLYN,77TH STREET,Bay Ridge
123511182,MANHATTAN,PARK AVENUE,Midtown-Midtown South
340661242,BROOKLYN,ARGYLE ROAD,Flatbush
321385773,BROOKLYN,LAFAYETTE AVENUE,Stuyvesant Heights
123680908,MANHATTAN,RIVERSIDE DRIVE,Upper West Side
421724398,QUEENS,110 STREET,Forest Hills
123683576,MANHATTAN,THIRD AVENUE,Turtle Bay-East Midtown
123850788,MANHATTAN,SUTTON PLACE SOUTH,Turtle Bay-East Midtown
421897497,QUEENS,NORTHERN BLVD,East Elmhurst
123827911,MANHATTAN,WEST 83RD STREET,Upper West Side
123480740,MANHATTAN,DOWNING STREET,West Village
340662964,BROOKLYN,MADISON STREET,Bushwick South
220689495,BRONX,SHERIDAN AVE,East Concourse-Concourse Village
123707408,MANHATTAN,3RD AVENUE,Upper East Side-Carnegie Hill
520374167,STATEN ISLAND,PUTNAM STREET,Great Kills
440540443,QUEENS,31ST STREET,Astoria
123716835,MANHATTAN,EAST 61ST STREET,Upper East Side-Carnegie Hill
123716835,MANHATTAN,EAST 61ST STREET,Upper East Side-Carnegie Hill
140839813,MANHATTAN,EAST 117TH STREET,East Harlem North
123863195,MANHATTAN,WEST 24TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
321935304,BROOKLYN,JEWEL STREET,Greenpoint
123418444,MANHATTAN,MAIN STREET,Lenox Hill-Roosevelt Island
